"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
0.000000000E0;-1.552728117E-3;4.691279590E-2;-1.853099585E-2;5.046403859E-2
1.001000000E-2;-4.538024068E-3;4.916338921E-2;3.609018445E-2;6.115663426E-2
2.004999999E-2;5.597539544E-3;3.973826230E-2;9.660769701E-3;4.127702037E-2
3.005999999E-2;3.209536672E-3;3.016344666E-2;1.672888398E-2;3.464087469E-2
4.006899998E-2;-9.057044685E-3;4.918093085E-2;4.505572021E-2;6.731130619E-2
5.009679165E-2;6.015907824E-3;5.651860178E-2;-4.947329164E-3;5.705277872E-2
6.010579166E-2;3.972598314E-3;4.933646679E-2;-1.933674216E-2;5.313923306E-2
7.011579166E-2;-2.296990961E-2;5.637125194E-2;1.569626570E-2;6.286260852E-2
8.012579166E-2;-1.394327044E-2;6.834459543E-2;4.440317094E-2;8.268639613E-2
9.016579165E-2;-8.252467811E-3;6.834576488E-2;-1.791060627E-2;7.113393436E-2
1.001757917E-1;1.477883756E-3;5.412650585E-2;-2.751875103E-2;6.073832755E-2
1.101857917E-1;6.117064655E-3;5.651977122E-2;-1.577111006E-2;5.899687221E-2
1.202257916E-1;8.160081804E-3;4.933295846E-2;8.051615953E-3;5.064737155E-2
1.302357917E-1;1.533987790E-2;3.974820256E-2;5.630868673E-3;4.297601823E-2
1.402457917E-1;-1.076004624E-2;3.256022036E-2;-1.629385114E-2;3.796624988E-2
1.502547917E-1;8.248082399E-3;5.650983095E-2;-1.601961672E-2;5.931289891E-2
1.602957917E-1;3.558030725E-3;4.445404172E-2;3.784844220E-2;5.849210190E-2
1.703047917E-1;-5.474748015E-3;5.886099637E-2;7.475080490E-3;5.958579182E-2
1.803147917E-1;-8.880458772E-3;4.930372238E-2;-8.476123810E-3;5.080909627E-2
1.903547916E-1;-3.655971587E-3;5.165430307E-2;3.361622751E-2;6.173802642E-2
2.003647917E-1;1.102346331E-2;4.694729447E-2;1.733114719E-2;5.124386661E-2
2.103747917E-1;8.262700438E-3;4.687478900E-2;2.763043284E-2;5.503597806E-2
2.204147917E-1;-6.761135459E-3;4.437685847E-2;2.704980433E-2;5.240906825E-2
2.304247917E-1;-9.164925814E-3;2.534884930E-2;-7.843455076E-3;2.807275928E-2
2.404347917E-1;-2.574324399E-2;3.473421514E-2;1.578865170E-2;4.602675130E-2
2.504447917E-1;8.256268501E-3;3.730406642E-2;3.255963564E-2;5.019849812E-2
2.604847917E-1;-1.364974022E-2;5.395576715E-2;-2.379875243E-2;6.053032987E-2
2.704947916E-1;-2.073188782E-2;4.677246273E-2;-2.808534622E-2;5.836318287E-2
2.805037917E-1;-5.896916986E-4;6.606008828E-2;2.245915532E-3;6.610088605E-2
2.905447917E-1;-3.544874489E-3;6.364226460E-2;-2.066172123E-2;6.700604975E-2
3.005537917E-1;5.940186381E-3;5.646422267E-2;2.478634715E-3;5.682990310E-2
3.105637917E-1;-2.464133620E-2;4.196429729E-2;1.737675548E-2;5.167348767E-2
3.206037917E-1;-1.406664670E-2;4.678532660E-2;1.720601678E-2;5.179560163E-2
3.306137917E-1;-1.226570427E-2;3.000206351E-2;1.349245012E-2;3.510865316E-2
3.406237916E-1;1.719987720E-2;5.651801705E-2;7.203769684E-4;5.908164665E-2
3.506337916E-1;1.841317445E-2;3.513767302E-2;-7.372169495E-3;4.034910088E-2
3.606737917E-1;6.179922223E-3;3.976866782E-2;-1.233996391E-2;4.209528582E-2
3.706837917E-1;1.060363322E-2;4.455929160E-2;1.935486853E-2;4.972502832E-2
3.806937917E-1;8.621719480E-4;5.891654491E-2;-7.267504334E-3;5.936934583E-2
3.907337917E-1;-5.688463748E-3;4.696249723E-2;-5.437910557E-3;4.761728297E-2
4.007437917E-1;1.603014171E-3;3.979088724E-2;2.541024506E-2;4.723944237E-2
4.107527916E-1;2.377770245E-3;3.500728011E-2;-2.279361606E-2;4.184151509E-2
4.207937917E-1;-3.527625203E-3;5.654257536E-2;7.928824425E-4;5.665805883E-2
4.308027917E-1;-1.796849370E-2;2.763511062E-2;-2.071551561E-2;3.893197518E-2
4.408127917E-1;-3.269996881E-2;5.157828927E-2;-1.085301697E-2;6.202737994E-2
4.508227917E-1;-1.664848477E-2;3.240643859E-2;1.759310246E-2;4.045820759E-2
4.608627917E-1;-2.376863927E-2;4.677304745E-2;1.020923853E-3;5.247578933E-2
4.708727917E-1;4.487738013E-4;4.692624450E-2;-1.025777042E-2;4.803639947E-2
4.808827917E-1;-1.934405118E-2;3.480321229E-2;3.199771821E-2;5.108140437E-2
4.909227917E-1;2.540030479E-3;6.608815491E-2;-5.394056439E-3;6.635655069E-2
5.009327916E-1;1.552698880E-2;4.947504580E-2;-5.515035331E-2;7.569959715E-2
5.109427916E-1;3.894830346E-3;2.778362989E-2;-3.322329462E-2;4.348433165E-2
5.209827917E-1;2.087543696E-2;3.992771208E-2;-1.115765691E-2;4.641658506E-2
5.309927917E-1;-7.646696270E-3;5.175955296E-2;-9.537978172E-3;5.318360945E-2
5.410017917E-1;1.126699984E-2;5.176949322E-2;2.663231313E-2;5.929844700E-2
5.510117917E-1;1.438707411E-2;4.233501077E-2;-3.044060469E-2;5.409132511E-2
5.610517917E-1;-3.116770595E-2;4.683385849E-2;-1.506769001E-2;5.823977574E-2
5.710617916E-1;-3.013947308E-3;6.119929790E-2;1.409646749E-2;6.287406730E-2
5.810717916E-1;-5.756583810E-4;2.061786711E-2;-3.801859617E-3;2.097336319E-2
5.911117917E-1;-5.260155201E-3;5.414112389E-2;-3.664566994E-2;6.558838048E-2
6.011217917E-1;-6.578702331E-3;4.918736279E-2;2.571663916E-2;5.589294689E-2
6.111317917E-1;3.291105330E-3;3.736078441E-2;1.175699651E-2;3.930504488E-2
6.211717917E-1;1.481012017E-2;4.932243347E-2;9.031609297E-3;5.228395614E-2
6.311817917E-1;-1.131436229E-4;5.170751274E-2;2.608384430E-2;5.791413134E-2
6.411917917E-1;-6.498887837E-3;5.651100039E-2;4.902890325E-3;5.709436962E-2
6.512007916E-1;8.220892847E-3;5.890251160E-2;-2.355433881E-2;6.396792812E-2
6.612417916E-1;8.237557411E-3;5.171277523E-2;-3.781043530E-2;6.458867928E-2
6.712507917E-1;8.494250178E-3;6.129577696E-2;-4.909497678E-2;7.899140020E-2
6.812607917E-1;5.482934117E-3;3.494763851E-2;-6.706171632E-3;3.600517660E-2
6.913017917E-1;9.940266609E-5;3.493945241E-2;1.240837634E-2;3.707752714E-2
7.013107917E-1;-1.225167096E-2;5.393764079E-2;4.884763956E-3;5.552687146E-2
7.113207917E-1;7.099689245E-3;4.210930824E-2;-9.704039097E-3;4.379232584E-2
7.213607916E-1;-1.445782542E-2;3.477806926E-2;8.964951038E-3;3.871579993E-2
7.313707916E-1;-1.199556291E-2;5.393588662E-2;-9.678896070E-3;5.609504813E-2
7.413807916E-1;-7.605765760E-3;5.886918247E-2;3.677898645E-4;5.935961242E-2
7.514207917E-1;-1.457506210E-2;5.153034210E-2;-8.685454130E-3;5.425168851E-2
7.614307917E-1;-1.203853995E-2;3.251461208E-2;-2.032609105E-2;4.019050162E-2
7.714407917E-1;-6.776922941E-4;4.448386252E-2;5.782896280E-3;4.486329436E-2
7.814497917E-1;-1.528374463E-2;4.673270166E-2;1.734693468E-2;5.213879934E-2
7.914907917E-1;-5.437910557E-4;3.969499290E-2;-8.591313958E-3;4.061771591E-2
8.014997916E-1;-2.546462417E-3;3.730289698E-2;-2.297487974E-2;4.388434451E-2
8.115097916E-1;-1.249520749E-2;3.730640531E-2;5.612157583E-3;3.974159533E-2
8.215507916E-1;-7.153191268E-3;3.730815947E-2;-2.541726172E-2;4.570671834E-2
8.315597917E-1;-1.438239634E-2;3.731108308E-2;-1.339538634E-2;4.217115863E-2
8.415697917E-1;6.967834532E-3;4.210404575E-2;1.353045702E-3;4.269815124E-2
8.516097917E-1;-1.683033317E-2;5.632447422E-2;-1.808602273E-2;6.150455860E-2
8.616197917E-1;-7.236514091E-3;3.970844150E-2;-8.805906773E-3;4.131188033E-2
8.716297917E-1;-7.913621664E-3;5.392653108E-2;2.711997092E-2;6.087847718E-2
8.816397917E-1;-2.584469318E-4;3.970785677E-2;8.331112862E-3;4.057324397E-2
8.916797916E-1;9.625394046E-3;4.210872352E-2;-3.551598787E-3;4.334058907E-2
9.016897916E-1;-1.190229982E-2;3.971311927E-2;-3.498389125E-3;4.160571246E-2
9.116987917E-1;2.564004064E-3;4.450549722E-2;-1.272061765E-2;4.635868325E-2
9.217397917E-1;2.543246448E-3;4.690051675E-2;-5.522695184E-3;4.729298823E-2
9.317497917E-1;-4.469026923E-3;4.211632490E-2;-7.698444128E-3;4.304675443E-2
9.417587917E-1;5.509538949E-3;3.028974652E-2;-3.579548478E-2;4.721377442E-2
9.517997917E-1;-1.921687424E-3;4.450783610E-2;-2.427763939E-2;5.073503850E-2
9.618087916E-1;-2.617184490E-2;3.477456093E-2;-1.534309387E-2;4.614808861E-2
9.718187916E-1;-1.922535270E-2;5.871832430E-2;-2.220889449E-2;6.565585115E-2
9.818287917E-1;-1.478439242E-2;3.476754427E-2;6.379312277E-3;3.831521915E-2
9.918687917E-1;-4.995861053E-3;3.491489410E-2;-1.699785590E-2;3.915272102E-2
1.001878792E0;-4.996445775E-3;3.970142484E-2;-2.653349519E-2;4.801243559E-2
1.011888792E0;1.372049153E-3;2.772398829E-2;2.608559847E-2;3.809147534E-2
1.021928792E0;-8.235218525E-3;3.730289698E-2;2.623470247E-2;4.634203880E-2
1.031938792E0;1.374095678E-3;4.688297510E-2;2.660717010E-2;5.392441928E-2
1.041939042E0;-2.236355335E-2;4.194909453E-2;2.401334524E-2;5.325876266E-2
1.051980042E0;-7.356674373E-3;5.407972813E-2;-9.162586927E-3;5.534158158E-2
1.061990042E0;1.750773311E-2;3.746837318E-2;-5.170108080E-2;6.620726141E-2
1.071999042E0;3.359225392E-4;5.408440590E-2;-3.030611873E-2;6.199755348E-2
1.082009042E0;-2.113476098E-3;3.971078038E-2;-2.044362009E-2;4.471414163E-2
1.092049042E0;-3.827295005E-3;5.647357821E-2;-8.532549441E-2;1.023931307E-1
1.102059042E0;-2.840782017E-2;6.350836337E-2;-4.036859214E-2;8.043593535E-2
1.112069042E0;-3.042335540E-2;4.898797274E-2;9.572242856E-2;1.117505497E-1
1.122109042E0;-3.625156760E-2;2.040210485E-2;2.609553874E-2;4.910599941E-2
1.132119042E0;3.168606162E-3;4.450491250E-2;-5.421304464E-2;7.021240283E-2
1.142129042E0;3.150772154E-3;4.226016641E-2;-6.098528981E-2;7.426341363E-2
1.152169042E0;3.534261793E-2;5.662969887E-2;2.562191427E-2;7.150178968E-2
1.162179042E0;1.102053970E-2;3.013771892E-2;7.319544554E-2;7.992063341E-2
1.172188042E0;1.241071522E-3;3.028974652E-2;-7.191841364E-2;7.804657086E-2
1.182198042E0;1.099861264E-3;4.691162646E-2;-5.969305515E-2;7.592872464E-2
1.192239042E0;-3.095808327E-3;5.395225883E-2;7.086299121E-2;8.911786457E-2
1.202248042E0;-1.369797975E-2;5.156776428E-2;-1.456541419E-3;5.337593536E-2
1.212258042E0;1.894088566E-2;4.468325257E-2;-1.008633006E-1;1.119319240E-1
